Amino Acid Length,Time Taken (seconds),Experiment
5,0.21,Experiment 1a
10,0.16,Experiment 1a
15,0.27,Experiment 1a
20,0.43,Experiment 1a
25,0.54,Experiment 1a
30,0.72,Experiment 1a
35,1.02,Experiment 1a
40,1.15,Experiment 1a
45,1.42,Experiment 1a
50,1.74,Experiment 1a
55,1.99,Experiment 1a
60,2.47,Experiment 1a
65,3.09,Experiment 1a
70,3.27,Experiment 1a
75,3.84,Experiment 1a
80,4.39,Experiment 1a
85,4.82,Experiment 1a
90,5.07,Experiment 1a
95,5.67,Experiment 1a
100,6.35,Experiment 1a
105,7.11,Experiment 1a
110,7.49,Experiment 1a
115,8.5,Experiment 1a
120,9.09,Experiment 1a
125,9.54,Experiment 1a
130,10.19,Experiment 1a
135,11.08,Experiment 1a
140,11.84,Experiment 1a
145,12.84,Experiment 1a
150,13.86,Experiment 1a
155,14.69,Experiment 1a
160,15.13,Experiment 1a
165,16.79,Experiment 1a
170,17.99,Experiment 1a
175,18.03,Experiment 1a
180,19.57,Experiment 1a
185,20.94,Experiment 1a
190,21.82,Experiment 1a
195,23.32,Experiment 1a
200,24.92,Experiment 1a
5,0.14,Experiment 1b
10,0.17,Experiment 1b
15,0.27,Experiment 1b
20,0.41,Experiment 1b
25,0.61,Experiment 1b
30,0.8,Experiment 1b
35,1.46,Experiment 1b
40,1.49,Experiment 1b
45,1.76,Experiment 1b
50,2.02,Experiment 1b
55,2.32,Experiment 1b
60,2.67,Experiment 1b
65,3.14,Experiment 1b
70,3.66,Experiment 1b
75,4.0,Experiment 1b
80,4.71,Experiment 1b
85,5.02,Experiment 1b
90,5.77,Experiment 1b
95,6.57,Experiment 1b
100,6.97,Experiment 1b
105,7.71,Experiment 1b
110,8.67,Experiment 1b
115,9.33,Experiment 1b
120,10.3,Experiment 1b
125,12.15,Experiment 1b
130,12.87,Experiment 1b
135,13.08,Experiment 1b
140,13.44,Experiment 1b
145,13.75,Experiment 1b
150,15.26,Experiment 1b
155,15.93,Experiment 1b
160,17.9,Experiment 1b
165,18.29,Experiment 1b
170,18.87,Experiment 1b
175,20.56,Experiment 1b
180,21.04,Experiment 1b
185,22.66,Experiment 1b
190,23.52,Experiment 1b
195,24.97,Experiment 1b
200,26.83,Experiment 1b
5,0.12,Experiment 1c
10,0.17,Experiment 1c
15,0.28,Experiment 1c
20,0.43,Experiment 1c
25,0.62,Experiment 1c
30,0.87,Experiment 1c
35,1.03,Experiment 1c
40,1.45,Experiment 1c
45,1.5,Experiment 1c
50,1.81,Experiment 1c
55,2.14,Experiment 1c
60,2.5,Experiment 1c
65,2.96,Experiment 1c
70,3.86,Experiment 1c
75,4.39,Experiment 1c
80,4.65,Experiment 1c
85,4.92,Experiment 1c
90,5.53,Experiment 1c
95,6.24,Experiment 1c
100,6.86,Experiment 1c
105,7.42,Experiment 1c
110,8.02,Experiment 1c
115,8.78,Experiment 1c
120,9.34,Experiment 1c
125,10.09,Experiment 1c
130,11.27,Experiment 1c
135,12.15,Experiment 1c
140,13.26,Experiment 1c
145,14.6,Experiment 1c
150,14.88,Experiment 1c
155,16.27,Experiment 1c
160,17.19,Experiment 1c
165,18.39,Experiment 1c
170,19.25,Experiment 1c
175,20.31,Experiment 1c
180,22.03,Experiment 1c
185,22.49,Experiment 1c
190,24.66,Experiment 1c
195,24.96,Experiment 1c
200,26.72,Experiment 1c
5,0.11,Experiment 1d
10,0.16,Experiment 1d
15,0.27,Experiment 1d
20,0.39,Experiment 1d
25,0.56,Experiment 1d
30,0.95,Experiment 1d
35,1.07,Experiment 1d
40,1.22,Experiment 1d
45,1.42,Experiment 1d
50,1.71,Experiment 1d
55,2.01,Experiment 1d
60,2.45,Experiment 1d
65,2.76,Experiment 1d
70,3.13,Experiment 1d
75,3.56,Experiment 1d
80,4.11,Experiment 1d
85,4.6,Experiment 1d
90,5.05,Experiment 1d
95,5.61,Experiment 1d
100,6.17,Experiment 1d
105,7.01,Experiment 1d
110,7.56,Experiment 1d
115,7.99,Experiment 1d
120,8.7,Experiment 1d
125,9.7,Experiment 1d
130,10.46,Experiment 1d
135,11.43,Experiment 1d
140,12.19,Experiment 1d
145,12.74,Experiment 1d
150,13.92,Experiment 1d
155,14.99,Experiment 1d
160,16.53,Experiment 1d
165,16.56,Experiment 1d
170,17.36,Experiment 1d
175,18.39,Experiment 1d
180,19.5,Experiment 1d
185,21.25,Experiment 1d
190,22.92,Experiment 1d
195,23.85,Experiment 1d
200,25.44,Experiment 1d
5,0.11,Experiment 1e
10,0.17,Experiment 1e
15,0.48,Experiment 1e
20,0.45,Experiment 1e
25,0.64,Experiment 1e
30,0.78,Experiment 1e
35,1.04,Experiment 1e
40,1.26,Experiment 1e
45,1.51,Experiment 1e
50,1.81,Experiment 1e
55,2.11,Experiment 1e
60,2.41,Experiment 1e
65,2.99,Experiment 1e
70,3.23,Experiment 1e
75,3.53,Experiment 1e
80,4.05,Experiment 1e
85,4.52,Experiment 1e
90,5.55,Experiment 1e
95,5.99,Experiment 1e
100,6.92,Experiment 1e
105,7.23,Experiment 1e
110,7.86,Experiment 1e
115,8.6,Experiment 1e
120,9.19,Experiment 1e
125,9.98,Experiment 1e
130,10.43,Experiment 1e
135,11.36,Experiment 1e
140,11.8,Experiment 1e
145,12.74,Experiment 1e
150,13.65,Experiment 1e
155,15.15,Experiment 1e
160,16.03,Experiment 1e
165,16.6,Experiment 1e
170,17.95,Experiment 1e
175,18.53,Experiment 1e
180,19.32,Experiment 1e
185,20.99,Experiment 1e
190,21.81,Experiment 1e
195,22.67,Experiment 1e
200,24.51,Experiment 1e
5,0.09,Experiment 2a
10,0.19,Experiment 2a
15,0.23,Experiment 2a
20,0.35,Experiment 2a
25,0.48,Experiment 2a
30,0.65,Experiment 2a
35,0.86,Experiment 2a
40,1.2,Experiment 2a
45,1.4,Experiment 2a
50,1.67,Experiment 2a
55,1.98,Experiment 2a
60,2.3,Experiment 2a
65,2.74,Experiment 2a
70,3.13,Experiment 2a
75,3.56,Experiment 2a
80,4.07,Experiment 2a
85,4.51,Experiment 2a
90,5.08,Experiment 2a
95,5.6,Experiment 2a
100,6.21,Experiment 2a
105,7.07,Experiment 2a
110,7.38,Experiment 2a
115,8.05,Experiment 2a
120,8.78,Experiment 2a
125,9.46,Experiment 2a
130,10.44,Experiment 2a
135,11.13,Experiment 2a
140,11.97,Experiment 2a
145,12.91,Experiment 2a
150,13.77,Experiment 2a
155,14.64,Experiment 2a
160,15.85,Experiment 2a
165,16.76,Experiment 2a
170,17.45,Experiment 2a
175,18.79,Experiment 2a
180,20.51,Experiment 2a
185,21.23,Experiment 2a
190,22.64,Experiment 2a
195,24.14,Experiment 2a
200,25.47,Experiment 2a
5,0.1,Experiment 2b
10,0.15,Experiment 2b
15,0.22,Experiment 2b
20,0.35,Experiment 2b
25,0.74,Experiment 2b
30,0.65,Experiment 2b
35,0.86,Experiment 2b
40,1.1,Experiment 2b
45,1.38,Experiment 2b
50,1.69,Experiment 2b
55,1.99,Experiment 2b
60,2.6,Experiment 2b
65,2.65,Experiment 2b
70,3.41,Experiment 2b
75,3.57,Experiment 2b
80,4.23,Experiment 2b
85,4.79,Experiment 2b
90,5.05,Experiment 2b
95,6.2,Experiment 2b
100,6.18,Experiment 2b
105,7.18,Experiment 2b
110,8.52,Experiment 2b
115,8.42,Experiment 2b
120,9.21,Experiment 2b
125,9.91,Experiment 2b
